client_label,client_type,feat1,feat2,feat3,feat4
1,conservative,156,7.6,7.5,0.67
3,minor,160,7.0,7.4,0.81
1,conservative,180,8.0,6.8,0.59
4,business,116,6.1,8.5,0.71
1,conservative,178,7.1,7.8,0.92
3,minor,150,7.1,7.9,0.75
4,business,194,7.2,10.3,0.7
3,minor,204,7.5,9.2,0.77
4,business,152,6.5,8.5,0.72
3,minor,140,6.7,7.1,0.72
3,minor,342,9.0,9.4,0.75
1,conservative,168,7.5,7.6,0.73
3,minor,144,6.8,7.4,0.75
4,business,116,6.0,7.5,0.72
3,minor,142,7.6,7.8,0.75
1,conservative,140,7.3,7.1,0.87
4,business,216,7.3,10.2,0.71
1,conservative,170,7.6,7.9,0.88
1,conservative,162,7.5,7.1,0.83
3,minor,190,7.5,8.1,0.74
2,VIP,84,6.0,4.6,0.79
4,business,200,7.3,10.5,0.72
1,conservative,176,7.4,7.2,0.6
2,VIP,80,5.8,4.3,0.77
4,business,116,6.3,7.7,0.72
3,minor,154,7.1,7.5,0.78
1,conservative,162,7.4,7.2,0.85
3,minor,362,9.6,9.2,0.74
4,business,120,6.0,8.4,0.74
3,minor,158,7.1,7.5,0.79
4,business,116,5.9,8.1,0.73
4,business,196,7.3,9.7,0.72
4,business,118,6.1,8.1,0.7
4,business,132,5.8,8.7,0.73
2,VIP,76,5.8,4.0,0.81
2,VIP,86,6.2,4.7,0.8
4,business,174,7.3,10.1,0.72
1,conservative,166,6.9,7.3,0.93
1,conservative,156,7.4,7.4,0.84
1,conservative,192,8.4,7.3,0.55
3,minor,160,7.1,7.6,0.76
4,business,186,7.2,9.2,0.72
3,minor,154,7.2,7.2,0.82
3,minor,356,9.2,9.2,0.75
4,business,130,6.0,8.2,0.71
1,conservative,164,7.3,7.7,0.7
1,conservative,172,7.1,7.6,0.92
3,minor,180,7.6,8.2,0.79
4,business,118,5.9,8.0,0.72
2,VIP,80,5.9,4.3,0.81
3,minor,158,7.2,7.8,0.77
3,minor,164,7.2,7.0,0.8
1,conservative,172,7.4,7.0,0.89
1,conservative,156,7.7,7.1,0.69
1,conservative,160,7.5,7.5,0.86
3,minor,154,7.3,7.3,0.79
1,conservative,154,7.0,7.1,0.88
1,conservative,152,7.6,7.3,0.69
3,minor,210,7.8,8.0,0.82
